Page;Content;Importance
1;Digital. Digitalisierung. Schule digital. Lernen digital. Unterricht digital. Lehrer digital.;1
2;KEIN TEXT GEFUNDEN;1
3;Digitalisierung ist, wenn alles digital ist. Digitalisierung ist die Zukunft, weil digital.;1
4;Es gibt Tablets. Tablets sind digital. Tablets sind in Schulen. Schulen brauchen Tablets.;1
5;Viele Schüler haben Geräte. Geräte sind digital. Geräte helfen beim Lernen.;1
6;Man kann digital lernen. Lernen mit Laptop ist digital.;1
7;Wenn man digital arbeitet, arbeitet man digital. Das ist digital.;1
8;Digitalisierung ist modern. Modern ist gut. Also ist Digitalisierung gut.;1
9;Digitalisierung hilft beim Lernen. Lernen ist besser mit Digitalisierung.;1
10;Schulen digitalisieren. Digitalisierung der Schulen ist Digitalisierung.;1
