Page;Content;Importance
1;Wissen ist Macht. Aber nur, wenn man das Wissen auch nutzt. Oft nutzt man es nicht.;0
2;Motivation spielt eine Rolle. Die Rolle ist unklar, aber sie ist da.;0
3;- Punkt 1 - Punkt 2 - Punkt 3 Etwas Kontext, aber wenig Aussage.;0
4;Die Umsetzung hängt von vielen Faktoren ab. Welche Faktoren das sind, ist nicht genau bekannt.;0
5;- Lernen lernen - Ziele setzen - Umsetzung planen Doch manchmal klappt es trotzdem nicht.;0
6;Ein gutes Beispiel hilft beim Verstehen. Wenn es aber kein gutes Beispiel gibt, hilft es auch nicht.;0
7;- Strategie - Umsetzung - Erfolg Drei Worte, viele Möglichkeiten.;0
8;Organisation und Struktur sind wichtig. Aber nicht jeder hält sich daran.;0
9;- Was ist das Ziel? - Wie erreicht man es? Diese Fragen stellt man sich oft.;0
10;Kommunikation ist der Schlüssel. Der Schlüssel zu was? Das ist nicht immer klar.;0
11;Kommunikation ist der Schlüssel. Der Schlüssel zu was? Das ist nicht immer klar.;0
12;- Problem erkennen - Lösung suchen - Erfolg genießen Das ist die Theorie.;0
13;Ein gutes Beispiel hilft beim Verstehen. Wenn es aber kein gutes Beispiel gibt, hilft es auch nicht.;0
14;Motivation spielt eine Rolle. Die Rolle ist unklar, aber sie ist da.;0
15;- Punkt 1 - Punkt 2 - Punkt 3 Etwas Kontext, aber wenig Aussage.;0
